380, 0, 0
0, UnitQuaternion angle: 0.0385887494004967 − axis: (-0.6833689604699383, 0.034801197060969076, 0.7292432656866703)
20000, UnitQuaternion angle: 0.035555191348436065 − axis: (-0.7330809693422817, -0.12876129438096282, 0.6678419135225939)
40000, UnitQuaternion angle: 0.03237147758519948 − axis: (-0.8240253569443055, -0.10748156829708333, 0.556264256976133)
60000, UnitQuaternion angle: 0.02912766861345693 − axis: (-0.9681705711146866, 0.22632558805278388, 0.10687597213603683)
80000, UnitQuaternion angle: 0.03981084958379838 − axis: (-0.7053182537902659, 0.651652734480137, -0.2790607004126704)
100000, UnitQuaternion angle: 0.047433428577141494 − axis: (-0.5224995884987701, 0.7528627075659616, -0.40023983256925494)
120000, UnitQuaternion angle: 0.036354387251963 − axis: (-0.4399157111910554, 0.6833805131861053, -0.5826364571881536)
140000, UnitQuaternion angle: 0.026746562863145276 − axis: (-0.33775432777056014, 0.18941627841186817, -0.9219780298601777)
160000, UnitQuaternion angle: 0.055550000651196765 − axis: (-0.661555637762177, 0.025275381509186158, -0.7494700082289113)
180000, UnitQuaternion angle: 0.12101371560110535 − axis: (-0.7615996898447293, 0.1700855503496844, -0.6253293676061097)
200000, UnitQuaternion angle: 0.16737171637319853 − axis: (-0.7627128849272216, 0.24170221628617553, -0.5998742316588918)
220000, UnitQuaternion angle: 0.16650015486820477 − axis: (-0.7993651525946216, 0.09615870981624924, -0.593101049859003)
240000, UnitQuaternion angle: 0.15995322216265054 − axis: (-0.802588518889596, -0.3709250127757248, -0.4671897946701456)
260000, UnitQuaternion angle: 0.1971073621268763 − axis: (-0.6566408442380796, -0.7220878060397966, -0.21774297243983556)
280000, UnitQuaternion angle: 0.24762439413039844 − axis: (-0.5639335804495365, -0.8219294866674662, -0.08006769503315066)
300000, UnitQuaternion angle: 0.2649105387676761 − axis: (-0.5633931356142119, -0.8238295850962531, -0.06239382551921133)
320000, UnitQuaternion angle: 0.24903468998748407 − axis: (-0.6197342728341287, -0.7831455699930089, -0.051112104976010625)
340000, UnitQuaternion angle: 0.2334716396812462 − axis: (-0.6951787407095672, -0.7184998518754743, -0.02201093638130556)
360000, UnitQuaternion angle: 0.22525812042905344 − axis: (-0.7174133503407589, -0.6965046342256043, 0.014120171921922584)
380000, UnitQuaternion angle: 0.2146753149704294 − axis: (-0.6728697019456692, -0.7383904603908445, 0.04500991232320734)
400000, UnitQuaternion angle: 0.20664279959953658 − axis: (-0.6077848571706248, -0.792724261129554, 0.046752681320817294)
420000, UnitQuaternion angle: 0.20124984865314088 − axis: (-0.5289236805949611, -0.8473108243419565, 0.04800111518323024)
440000, UnitQuaternion angle: 0.19239866514502643 − axis: (-0.48391363848792324, -0.8740948256600637, 0.042259037372878394)
460000, UnitQuaternion angle: 0.17606324392673947 − axis: (-0.48493513886244205, -0.8744106047204663, 0.015620673764359265)
480000, UnitQuaternion angle: 0.15023204296561093 − axis: (-0.4652359234958969, -0.8849242740621256, -0.021553762189932286)
500000, UnitQuaternion angle: 0.13016934744386827 − axis: (-0.34348724048088464, -0.937551238361759, -0.05490164909325616)
520000, UnitQuaternion angle: 0.12739197567611216 − axis: (-0.1471941845896995, -0.9867284426241094, -0.06856276350595124)
540000, UnitQuaternion angle: 0.1210594479219473 − axis: (-0.01866700948464861, -0.9969192092342068, -0.07618157924816055)
560000, UnitQuaternion angle: 0.09659257708454067 − axis: (-0.016436232332474585, -0.9899669166405846, -0.1403401376080522)
580000, UnitQuaternion angle: 0.0807571045974444 − axis: (-0.046873367128937804, -0.9782925333039602, -0.2018578874746193)
600000, UnitQuaternion angle: 0.07457010755670672 − axis: (-0.083508821050995, -0.9750882928601474, -0.2054971968999975)
620000, UnitQuaternion angle: 0.07532296975952867 − axis: (-0.19858423888924565, -0.9661731132897177, -0.16454122650823214)
640000, UnitQuaternion angle: 0.08446111798726544 − axis: (-0.3173514797988017, -0.9426567873750282, -0.10337417223514497)
660000, UnitQuaternion angle: 0.09716645627181253 − axis: (-0.35757286192010806, -0.9313233415915645, -0.06912656381583812)
680000, UnitQuaternion angle: 0.10387954190081747 − axis: (-0.35388800050161257, -0.9335118684328253, -0.05760967450026252)
700000, UnitQuaternion angle: 0.09897911947591106 − axis: (-0.3769466870587478, -0.9247840980377461, -0.05182245779531065)
720000, UnitQuaternion angle: 0.08780412688007061 − axis: (-0.45269382063111696, -0.8907846147902623, -0.039636786138208396)
740000, UnitQuaternion angle: 0.07422624135447432 − axis: (-0.5864498284951163, -0.8093501139399643, -0.03207790085737663)
760000, UnitQuaternion angle: 0.058297793037245575 − axis: (-0.7445148628763268, -0.6649324021469304, -0.0596868455470473)
780000, UnitQuaternion angle: 0.044804860844943624 − axis: (-0.8746813183440084, -0.4591395705326025, -0.15531724344426315)
800000, UnitQuaternion angle: 0.03895285862571345 − axis: (-0.9057736609299714, -0.31341649167127034, -0.285209007420856)
820000, UnitQuaternion angle: 0.03619392314072019 − axis: (-0.7909747405747661, -0.5059539918388696, -0.34404871445043134)
840000, UnitQuaternion angle: 0.035010691449906955 − axis: (-0.5509534108271336, -0.7549456547093317, -0.3556787842048583)
860000, UnitQuaternion angle: 0.032079638293542476 − axis: (-0.5194640858487451, -0.6926187811316601, -0.500436097356117)
880000, UnitQuaternion angle: 0.03714063612075224 − axis: (-0.7346510508239177, -0.16106443619853225, -0.6590493766899127)
900000, UnitQuaternion angle: 0.058996073839986146 − axis: (-0.7998758106853051, 0.0993377462170625, -0.5918874045433307)
920000, UnitQuaternion angle: 0.07491345736494429 − axis: (-0.8280226602174711, 0.05215890773023439, -0.558263309300165)
940000, UnitQuaternion angle: 0.07515736244805617 − axis: (-0.8212713152394643, -0.11860100101380987, -0.5580745732636122)
960000, UnitQuaternion angle: 0.0675262093685053 − axis: (-0.7097042917876232, -0.4538491139839323, -0.5388328126183738)
980000, UnitQuaternion angle: 0.06760244081912481 − axis: (-0.4542400062775589, -0.7685054579367845, -0.4506277597067632)
1000000, UnitQuaternion angle: 0.06452872657970814 − axis: (-0.4087068054356277, -0.7833547104182864, -0.4683098812283235)
1020000, UnitQuaternion angle: 0.05264202393603273 − axis: (-0.6006884267985513, -0.42674390166383563, -0.6760643876902613)
1040000, UnitQuaternion angle: 0.05920693955858407 − axis: (-0.655767335876123, 0.25261477561265744, -0.7114456945825864)
1060000, UnitQuaternion angle: 0.07368564395007392 − axis: (-0.6272124858106213, 0.47061650190281756, -0.6205840843753703)
1080000, UnitQuaternion angle: 0.07242008035479731 − axis: (-0.7224652313538533, 0.26807928071239834, -0.6373205541464564)
1100000, UnitQuaternion angle: 0.07636962125164241 − axis: (-0.7538612721478698, -0.20945032163599353, -0.6227549639482404)
1120000, UnitQuaternion angle: 0.09243680994167686 − axis: (-0.6671719113784602, -0.556857347813903, -0.4947641204182838)
1140000, UnitQuaternion angle: 0.11089750990073119 − axis: (-0.6266785865921548, -0.7015716338474562, -0.339221449332836)
1160000, UnitQuaternion angle: 0.1250277718075068 − axis: (-0.6336112953050713, -0.7386432370865597, -0.2300932306003767)
1180000, UnitQuaternion angle: 0.13558630815521303 − axis: (-0.6505596254276986, -0.7330058937471369, -0.19868199086815452)
1200000, UnitQuaternion angle: 0.13760542650275198 − axis: (-0.6672148946281574, -0.7076118044160231, -0.23261517284441413)
1220000, UnitQuaternion angle: 0.1253073386441539 − axis: (-0.7199310051645273, -0.6370682625254145, -0.27539676230058086)
1240000, UnitQuaternion angle: 0.11626243908157952 − axis: (-0.8283976479360258, -0.49220583139889423, -0.2673775540896875)
1260000, UnitQuaternion angle: 0.12042001440125746 − axis: (-0.8911219043903256, -0.3950961659192166, -0.22316086393383225)
1280000, UnitQuaternion angle: 0.1189401900541077 − axis: (-0.886776196079543, -0.39999922220380085, -0.23157849706535838)
1300000, UnitQuaternion angle: 0.10971688227722981 − axis: (-0.8265584092421853, -0.4675481910864886, -0.31336860902582514)
1320000, UnitQuaternion angle: 0.10136336763637417 − axis: (-0.7518394247901445, -0.504840895812613, -0.42411454731751747)
1340000, UnitQuaternion angle: 0.09413632448851568 − axis: (-0.7199939581768535, -0.4410773797840184, -0.5357792877964693)
